Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
testBank,REPAIR,repaired_isolated_Sub97,freq_sorted+ged_sorted+similarity_sorted,9,9,0.8505,0.9211,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub99,freq_sorted+ged_sorted+similarity_sorted,6,6,0.8507,0.9218,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub77,freq_sorted+ged_sorted+similarity_sorted,8,8,0.8518,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub126,freq_sorted+ged_sorted+similarity_sorted,9,9,0.8512,0.9218,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub144,freq_sorted+ged_sorted+similarity_sorted,5,5,0.8509,0.9215,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub104,freq_sorted+ged_sorted+similarity_sorted,8,8,0.8512,0.922,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub102,freq_sorted+ged_sorted+similarity_sorted,7,7,0.8501,0.922,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub103,freq_sorted+ged_sorted+similarity_sorted,7,7,0.851,0.9222,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub110,freq_sorted+ged_sorted+similarity_sorted,6,6,0.8503,0.9216,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub91,freq_sorted+ged_sorted+similarity_sorted,3,3,0.8511,0.9222,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub120,freq_sorted+ged_sorted+similarity_sorted,4,4,0.851,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub121,freq_sorted+ged_sorted+similarity_sorted,3,3,0.8511,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub151,freq_sorted+ged_sorted+similarity_sorted,3,3,0.851,0.9219,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub125,freq_sorted+ged_sorted+similarity_sorted,3,3,0.8509,0.9219,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub124,freq_sorted+ged_sorted+similarity_sorted,5,5,0.8509,0.9218,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub112,freq_sorted+ged_sorted+similarity_sorted,4,4,0.8511,0.922,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub139,freq_sorted+ged_sorted+similarity_sorted,3,3,0.8509,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub140,freq_sorted+ged_sorted+similarity_sorted,6,6,0.8507,0.9218,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub138,freq_sorted+ged_sorted+similarity_sorted,3,3,0.8509,0.9219,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub130,freq_sorted+ged_sorted+similarity_sorted,3,3,0.8511,0.9223,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub141,freq_sorted+ged_sorted+similarity_sorted,4,4,0.8509,0.9216,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub129,freq_sorted+ged_sorted+similarity_sorted,5,5,0.8499,0.9219,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub131,freq_sorted+ged_sorted+similarity_sorted,5,5,0.8511,0.9224,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub137,freq_sorted+ged_sorted+similarity_sorted,3,3,0.8511,0.9218,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub152,freq_sorted+ged_sorted+similarity_sorted,3,3,0.8512,0.9224,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub149,freq_sorted+ged_sorted+similarity_sorted,3,3,0.8511,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub150,freq_sorted+ged_sorted+similarity_sorted,3,3,0.851,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub117,freq_sorted+ged_sorted+similarity_sorted,3,3,0.851,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub132,freq_sorted+ged_sorted+similarity_sorted,2,2,0.8509,0.922,0.9676,0.7576
