Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,REPAIR,repaired_isolated_Sub265,,2,2,0.7074,0.3087,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub257,,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub94,,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub327,,2,2,0.7075,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub925,,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub281,,0,0,0.7074,0.3076,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub341,,0,0,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub938,,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub549,,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub123,,3,3,0.7073,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub961,,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub131,,0,0,0.7074,0.3084,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub331,,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub948,,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub166,,0,0,0.7074,0.3075,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub405,,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub435,,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub954,,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub465,,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub918,,0,0,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub143,,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub308,,0,0,0.7074,0.3076,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub499,,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub392,,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub403,,0,0,0.7074,0.3079,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub264,,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub322,,0,0,0.7074,0.3074,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub395,,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub947,,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub953,,0,0,0.7074,0.3081,0.9518,0.6842
